年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,9班,赖纯典,109,74,105.5,57,59,/,/,/,72
本高2023届,9班,杜莲莹,123,84,111.5,85,44,/,74,/,/
本高2023届,9班,韩珊冶,119,82,115,70,57,76,/,/,/
本高2023届,9班,杜勇莹,105,116,61.5,69,69,80,/,/,/
本高2023届,9班,郁露芸,117,87,111,77,72,72,/,/,/
本高2023届,9班,束殉绮,96,94,110,42,47,/,66,/,/
本高2023届,9班,水煦笛,105,92,131,56,53,/,69,/,/
本高2023届,10班,颜颉弘,94,78,97.5,77,/,73,/,/,42
本高2023届,10班,韶琨畅,104,60,119,55,/,64,/,/,67
本高2023届,10班,秦晨尤,120,69,109.5,52,/,66,/,/,55
本高2023届,10班,农霞中,109,77,107.5,70,/,75,/,/,61
本高2023届,10班,顾子朋,91,54,77.5,48,/,43,/,/,44
本高2023届,10班,柳侃漫,89,81,99,58,47,52,/,/,/
本高2023届,10班,马迅中,108,86,113.5,67,/,72,/,/,65
本高2023届,10班,伊盼梦,68,55,135,50,/,72,/,/,66
本高2023届,10班,石洵晗,101,49,82,56,/,57,/,/,54
本高2023届,10班,沈保闻,99,83,103,63,/,58,/,/,51
本高2023届,10班,诸晟啸,102,73,100,52,56,79,/,/,/
本高2023届,10班,时万锁,121,107,127,66,/,83,/,/,76
本高2023届,10班,岑陵益,60,96,85,75,48,73,/,/,/
本高2023届,10班,赵榕伟,108,100,124,68,/,60,/,/,51
本高2023届,10班,咎野漪,103,107,123,81,64,75,/,/,/
本高2023届,11班,周争奔,100,65,86.5,65,34,/,/,/,73
本高2023届,11班,司楠硕,116,97,115.5,88,59,/,/,/,63
本高2023届,11班,朱茜莎,113,98,109.5,73,72,/,/,/,62
本高2023届,11班,邢栋墩,114,83,105,68,56,/,/,/,56
本高2023届,11班,诸轩煦,99,75,107,76,62,/,/,/,62
本高2023届,11班,高莲杨,100,99,123.5,63,68,/,/,/,49
本高2023届,11班,林歌艳,116,110,110.5,49,64,/,/,/,68
本高2023届,11班,董雷坦,102,77,91,69,64,/,/,/,55
本高2023届,11班,蒙慧茉,118,89,110,54,63,/,/,/,48
本高2023届,11班,孙蕴如,97,73,119.5,63,39,/,/,/,60
本高2023届,12班,姚娅佩,64,95,100,70,66,72,/,/,/
本高2023届,12班,成旎炯,111,101,108,60,57,77,/,/,/
本高2023届,12班,计珂研,106,87,113.5,42,57,67,/,/,/
本高2023届,12班,邓或可,107,94,135,75,69,81,/,/,/
本高2023届,12班,邬讳齐,70,90,114,64,57,/,/,/,49
本高2023届,12班,幸珍毓,98,103,106.5,78,57,69,/,/,/
本高2023届,12班,莫茹蔷,121,93,130,71,71,72,/,/,/
本高2023届,12班,黄琼颖,121,97,113,70,60,73,/,/,/
本高2023届,12班,田翼羿,56,87,116,79,62,75,/,/,/
本高2023届,13班,褚忆祺,101,83,109.5,85,64,77,/,/,/
本高2023届,13班,严丽霓,96,109,102,60,59,68,/,/,/
本高2023届,13班,晏洲灵,109,91,121,59,55,79,/,/,/
本高2023届,13班,褚岳易,107,95,105.5,64,59,84,/,/,/
本高2023届,13班,卓心涌,95,62,106.5,52,47,70,/,/,/
本高2023届,13班,诸苹予,97,87,113,63,74,71,/,/,/
本高2023届,13班,伍升赛,92,87,116,50,44,74,/,/,/
本高2023届,13班,宣景川,97,82,98.5,75,69,78,/,/,/
本高2023届,13班,娄睿海,103,88,107.5,58,50,63,/,/,/
本高2023届,14班,韩羚娥,111,38,95,22,31,/,69,/,/
本高2023届,14班,左斌民,98,45,87,33,25,42,/,/,/
本高2023届,14班,伏意曼,74,72,105.5,64,30,/,68,/,/
本高2023届,14班,傅曦书,116,108,98,/,58,/,/,/,70
本高2023届,14班,孙冉萌,105,100,110,76,71,/,/,/,63
本高2023届,14班,诸璟齐,105,105,115.5,59,57,70,/,/,/
